Tag_ID,Timestamp_ms,Anchor_ID,Raw_Distance_cm,Filtered_Distance_cm,Signal_Power_dBm
1,415286,10,106.03,108.08,0.00
1,415292,20,109.79,109.81,0.00
1,415298,30,99.00,99.08,0.00
1,415304,40,109.79,109.92,0.00
1,415336,10,106.50,107.29,0.00
1,415342,20,110.73,110.27,0.00
1,415348,30,100.87,99.97,0.00
1,415354,40,111.66,110.79,0.00
1,415386,10,106.03,106.66,0.00
1,415392,20,109.79,110.03,0.00
1,415398,30,99.47,99.72,0.00
1,415404,40,115.42,113.10,0.00
1,415436,10,105.56,106.11,0.00
1,415442,20,108.85,109.44,0.00
1,415448,30,99.47,99.59,0.00
1,415454,40,114.95,114.03,0.00
1,415486,10,103.22,104.67,0.00
1,415492,20,110.73,110.08,0.00
1,415498,30,98.06,98.83,0.00
1,415504,40,111.19,112.61,0.00
1,416036,10,106.03,105.35,0.00
1,416042,20,134.18,122.13,0.00
1,416048,30,91.96,95.39,0.00
1,416054,40,109.79,111.20,0.00
1,416086,10,108.38,106.86,0.00
1,416092,20,125.74,123.94,0.00
1,416098,30,87.74,91.56,0.00
1,416104,40,111.19,111.20,0.00
1,416136,10,109.79,108.33,0.00
1,416142,20,124.33,124.13,0.00
1,416148,30,91.49,91.53,0.00
1,416154,40,116.36,113.78,0.00
1,416186,10,111.19,109.76,0.00
1,416192,20,123.86,124.00,0.00
1,416198,30,90.08,90.80,0.00
1,416204,40,130.90,122.34,0.00
1,416236,10,110.26,110.01,0.00
1,416242,20,120.11,122.05,0.00
1,416248,30,89.14,89.97,0.00
1,416254,40,121.05,121.69,0.00
1,416286,10,108.85,109.43,0.00
1,416291,20,114.48,118.27,0.00
1,416297,30,90.55,90.26,0.00
1,416303,40,121.99,121.84,0.00
1,416335,10,110.26,109.84,0.00
1,416342,20,114.48,116.37,0.00
1,416347,30,91.49,90.88,0.00
1,416353,40,121.05,121.44,0.00
1,416386,10,106.97,108.41,0.00
1,416391,20,107.44,111.91,0.00
1,416397,30,99.47,95.17,0.00
1,416404,40,120.58,121.01,0.00
1,416436,10,107.91,108.16,0.00
1,416442,20,105.10,108.50,0.00
1,416448,30,100.87,98.02,0.00
1,416454,40,122.92,121.97,0.00
1,416486,10,106.50,107.33,0.00
1,416492,20,105.10,106.80,0.00
1,416498,30,108.85,103.44,0.00
1,416503,40,119.17,120.57,0.00
1,417036,10,108.38,107.86,0.00
1,417042,20,104.16,105.48,0.00
1,417048,30,112.13,107.78,0.00
1,417054,40,199.40,159.98,0.00
1,417086,10,106.50,107.18,0.00
1,417092,20,104.63,105.05,0.00
1,417098,30,111.66,109.72,0.00
1,417104,40,200.81,180.40,0.00
